domaine;categoryPath;titre;slug;priorite;essentiel;status
droit;droit-et-justice/vie-quotidienne-et-droit/droit-du-travail;Le contrat de travail;contrat-de-travail-et-licenciement;;non;published
droit;droit-et-justice/vie-quotidienne-et-droit/droit-du-travail;Le droit de grève;droit-de-greve;;non;published
droit;droit-et-justice/vie-quotidienne-et-droit/droit-de-la-consommation;Rétractation et garanties;droit-de-retractation-et-garanties;;non;published
energie;energie/energies-renouvelables/hydraulique;Le moulin à eau;moulin-eau;;non;published
environnement;environnement-et-climat/pollution-et-ressources/eau;Rendre l'eau potable;rendre-eau-potable;;non;published
espace;espace-et-astronomie/systeme-solaire/planetes;Les huit planètes du Système solaire;huit-planetes-systeme-solaire;;non;published
espace;espace-et-astronomie/systeme-solaire/lune;La Lune, sa formation et les marées;la-lune-formation-et-marees;;non;published
espace;espace-et-astronomie/systeme-solaire/petits-corps;Astéroïdes, comètes et météorites;asteroides-cometes-et-meteorites;;non;published
espace;espace-et-astronomie/astrophysique/etoiles;Comment naissent et meurent les étoiles;formation-stellaire-galaxies-lointaines-jwst;;non;published
espace;espace-et-astronomie/astrophysique/cosmologie;Les ondes gravitationnelles;gwtc-5-catalogue-ondes-gravitationnelles;;non;published
espace;espace-et-astronomie/astrophysique/trous-noirs;Les trous noirs;trous-noirs-ce-quon-en-sait;;non;published
espace;espace-et-astronomie/exploration-spatiale/sondes;Le télescope spatial James Webb;telescope-spatial-james-webb;;non;published
espace;espace-et-astronomie/observation-astronomique/messagers-du-cosmos;Pourquoi observer dans l'infrarouge;pourquoi-observer-dans-linfrarouge;;non;published
espace;espace-et-astronomie/observation-astronomique/telescopes;À quoi sert la taille d'un télescope;taille-des-telescopes-et-resolution;;non;published
espace;espace-et-astronomie/exploration-spatiale/vols-habites;Artemis II, le retour vers la Lune;artemis-ii-retour-vers-la-lune;;non;published
espace;espace-et-astronomie/exploration-spatiale/lanceurs-et-orbites;Comment on met un objet en orbite;mettre-un-objet-en-orbite;;non;published
geographie;geographie-et-territoires/geographie-physique/reliefs;La formation des montagnes;formation-chaines-de-montagnes;;non;published
geographie;geographie-et-territoires/geographie-physique/climatologie;Les grands types de climats;classification-climats-mondiaux-koppen;;non;published
geographie;geographie-et-territoires/geographie-physique/hydrographie;Pourquoi il pleut ici et pas là;pourquoi-il-pleut-ici-et-pas-la;;non;published
geographie;geographie-et-territoires/geographie-humaine/demographie;Huit milliards d'habitants;huit-milliards-dhabitants;;non;published
geographie;geographie-et-territoires/geographie-humaine/urbanisation;L'urbanisation du monde;urbanisation-mondiale-onu;;non;published
geographie;geographie-et-territoires/geographie-humaine/migrations;Les migrations, chiffres et idées reçues;migrations-realites-et-idees-recues;;non;published
geographie;geographie-et-territoires/geopolitique/frontieres;Comment se dessinent les frontières;differend-frontalier-essequibo-guyana-venezuela;;non;published
geographie;geographie-et-territoires/geopolitique/ressources;Les ressources stratégiques;repartition-mondiale-lithium-ressource-strategique;;non;published
geographie;geographie-et-territoires/geopolitique/routes-et-detroits;Les détroits et les routes maritimes;detroits-et-routes-maritimes;;non;published
industries;industries/industrie-lourde/siderurgie;Du minerai au fer, le bas fourneau;minerai-fer-bas-fourneau;;non;published
informatique;micro-informatique-et-informatique/materiel/processeurs;La gravure en deux nanomètres;gravure-2-nanometres-tsmc;;non;published
informatique;micro-informatique-et-informatique/materiel/processeurs;Comment fonctionne un processeur;comment-fonctionne-un-processeur;;non;published
informatique;micro-informatique-et-informatique/materiel/memoire-et-stockage;Mémoire vive et stockage;ram-stockage-ssd-evolution;;non;published
informatique;micro-informatique-et-informatique/materiel/peripheriques-et-ecrans;Comment un écran affiche une image;comment-un-ecran-affiche-une-image;;non;published
informatique;micro-informatique-et-informatique/logiciel/systemes-d-exploitation;À quoi sert un système d'exploitation;histoire-principes-systemes-exploitation;;non;published
informatique;micro-informatique-et-informatique/logiciel/programmation;Les langages de programmation;histoire-principes-langages-programmation;;non;published
informatique;micro-informatique-et-informatique/logiciel/algorithmes;Les algorithmes et leur efficacité;algorithmes-et-complexite;;non;published
informatique;micro-informatique-et-informatique/reseaux-et-securite/internet;Comment fonctionne internet;fonctionnement-internet-acces-mondial;;non;published
informatique;micro-informatique-et-informatique/reseaux-et-securite/cybersecurite;Les cyberattaques;ampleur-cyberattaques-mondiales;;non;published
informatique;micro-informatique-et-informatique/reseaux-et-securite/chiffrement;Le chiffrement;chiffrement-et-vie-privee;;non;published
informatique;micro-informatique-et-informatique/donnees/representation-et-compression;Comment on compresse une image ou un son;representation-et-compression-des-donnees;;non;published
informatique;micro-informatique-et-informatique/donnees/bases-de-donnees;Les bases de données;bases-de-donnees-et-index;;non;published
intelligence-artificielle;intelligence-artificielle/apprentissage-automatique/apprentissage-profond;Comment une machine apprend;principes-apprentissage-profond;;non;published
intelligence-artificielle;intelligence-artificielle/apprentissage-automatique/apprentissage-par-renforcement;Apprendre en jouant des millions de parties;apprentissage-par-renforcement-alphago;;non;published
intelligence-artificielle;intelligence-artificielle/apprentissage-automatique/donnees-et-entrainement;Les données d'entraînement;donnees-dentrainement-et-surapprentissage;;non;published
intelligence-artificielle;intelligence-artificielle/modeles-de-langage/transformeurs;Les transformeurs;transformeurs-architecture-ia;;non;published
intelligence-artificielle;intelligence-artificielle/modeles-de-langage/ia-generative;L'IA générative multimodale;gpt-4o-ia-generative-multimodale;;non;published
intelligence-artificielle;intelligence-artificielle/modeles-de-langage/limites-et-erreurs;Pourquoi une IA invente des choses fausses;limites-des-modeles-de-langage;;non;published
intelligence-artificielle;intelligence-artificielle/ethique-et-societe/biais;Les biais des algorithmes;biais-algorithmiques-exemples-documentes;;non;published
intelligence-artificielle;intelligence-artificielle/ethique-et-societe/regulation;Le règlement européen sur l'IA;reglement-europeen-sur-lia-ai-act;;non;published
intelligence-artificielle;intelligence-artificielle/ethique-et-societe/travail-et-usages;Ce que l'IA change dans le travail;ia-et-transformation-du-travail;;non;published
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/agriculture-durable;La rotation des cultures;rotation-cultures;;non;published
sciences-fondamentales;sciences-fondamentales/physique/mecanique;Les trois lois de Newton;lois-de-newton-mecanique-classique;;non;published
sciences-fondamentales;sciences-fondamentales/physique/mecanique;L'énergie ne se perd jamais;energie-et-conservation;;non;published
sciences-fondamentales;sciences-fondamentales/physique/physique-quantique;Une particule peut-elle être une onde;dualite-onde-corpuscule;;non;published
sciences-fondamentales;sciences-fondamentales/physique/physique-quantique;L'ordinateur quantique et ses erreurs;correction-derreurs-quantiques-willow;;non;published
sciences-fondamentales;sciences-fondamentales/physique/electromagnetisme;L'électricité et le magnétisme sont la même chose;electricite-et-magnetisme-un-seul-phenomene;;non;published
sciences-fondamentales;sciences-fondamentales/physique/electromagnetisme;Comment fonctionne un aimant;comment-fonctionne-un-aimant;;non;published
sciences-fondamentales;sciences-fondamentales/physique/thermodynamique;Les deux principes de la thermodynamique;les-deux-principes-de-la-thermodynamique;;non;published
sciences-fondamentales;sciences-fondamentales/physique/thermodynamique;Température et chaleur ne sont pas la même chose;temperature-et-chaleur;;non;published
sciences-fondamentales;sciences-fondamentales/chimie/chimie-inorganique;Le tableau périodique;tableau-periodique-des-elements;;non;published
sciences-fondamentales;sciences-fondamentales/chimie/chimie-organique;Le carbone, l'atome du vivant;molecule-carbone-composes-organiques;;non;published
sciences-fondamentales;sciences-fondamentales/chimie/chimie-physique;Pourquoi une réaction chimique se produit;reactions-chimiques-et-equilibre;;non;published
sciences-fondamentales;sciences-fondamentales/mathematiques/algebre;L'algèbre, ou comment calculer avec l'inconnu;histoire-principes-algebre;;non;published
sciences-fondamentales;sciences-fondamentales/mathematiques/analyse;Le prix Abel et les mathématiques contemporaines;prix-abel-2025-kashiwara;;non;published
sciences-fondamentales;sciences-fondamentales/mathematiques/probabilites-et-statistiques;Le hasard et les probabilités;le-hasard-et-les-probabilites;;non;published
sciences-fondamentales;sciences-fondamentales/mathematiques/geometrie;La géométrie d'Euclide et celles qui l'ont suivie;geometrie-euclidienne-et-au-dela;;non;published
sciences-fondamentales;sciences-fondamentales/biologie/evolution;L'évolution par sélection naturelle;theorie-evolution-selection-naturelle;;non;published
sciences-fondamentales;sciences-fondamentales/biologie/genetique;La découverte de la structure de l'ADN;decouverte-structure-adn;;non;published
sciences-fondamentales;sciences-fondamentales/biologie/cellule;La cellule, unité du vivant;la-cellule-unite-du-vivant;;non;published
sciences-fondamentales;sciences-fondamentales/biologie/ecologie;Qui mange qui dans un écosystème;chaines-alimentaires-et-ecosystemes;;non;published
sciences-fondamentales;sciences-fondamentales/sciences-de-la-terre/geologie;La tectonique des plaques;tectonique-des-plaques;;non;published
sciences-fondamentales;sciences-fondamentales/sciences-de-la-terre/volcans-et-seismes;Volcans et tremblements de terre;volcans-et-tremblements-de-terre;;non;published
sciences-fondamentales;sciences-fondamentales/sciences-de-la-terre/oceanographie;Les grands courants océaniques;courants-oceaniques-role-climatique;;non;published
sciences-humaines;sciences-humaines-et-sociales/histoire/prehistoire;Ce que la préhistoire nous apprend encore;homo-naledi-species-debattue;;non;published
sciences-humaines;sciences-humaines-et-sociales/histoire/epoque-contemporaine;Deux siècles qui ont tout changé;grandes-transformations-epoque-contemporaine;;non;published
sciences-humaines;sciences-humaines-et-sociales/histoire/methode-historique;Comment travaille un historien;comment-travaille-un-historien;;non;published
sciences-humaines;sciences-humaines-et-sociales/economie/microeconomie;Comment se forme un prix;principes-offre-et-demande;;non;published
sciences-humaines;sciences-humaines-et-sociales/economie/macroeconomie;La croissance économique mondiale;perspectives-de-croissance-mondiale-fmi-2025;;non;published
sciences-humaines;sciences-humaines-et-sociales/economie/macroeconomie;L'inflation;inflation-comment-ca-marche;;non;published
sciences-humaines;sciences-humaines-et-sociales/economie/inegalites-et-redistribution;Mesurer les inégalités;inegalites-de-revenu-et-de-patrimoine;;non;published
sciences-humaines;sciences-humaines-et-sociales/psychologie/cognition;La mémoire et l'attention;processus-cognitifs-memoire-attention;;non;published
sciences-humaines;sciences-humaines-et-sociales/psychologie/developpement;Comment un enfant apprend à penser;stades-developpement-enfant-piaget;;non;published
sciences-humaines;sciences-humaines-et-sociales/psychologie/biais-cognitifs;Pourquoi notre cerveau se trompe;pourquoi-notre-cerveau-se-trompe;;non;published
sciences-humaines;sciences-humaines-et-sociales/sociologie/groupes-et-normes;Pourquoi les gens se conforment;conformite-et-obeissance;;non;published
sciences-humaines;sciences-humaines-et-sociales/sociologie/education-et-mobilite;L'école et la reproduction sociale;ecole-et-reproduction-sociale;;non;published
sport;sport-et-sciences-du-mouvement/physiologie-de-l-effort/energetique-musculaire;D'où vient l'énergie d'un muscle;filieres-energetiques-du-muscle;;non;published
sport;sport-et-sciences-du-mouvement/physiologie-de-l-effort/entrainement;Comment on progresse à l'entraînement;principes-periodisation-entrainement-sportif;;non;published
sport;sport-et-sciences-du-mouvement/physiologie-de-l-effort/blessures-et-prevention;Pourquoi on se blesse en faisant du sport;blessures-et-charge-dentrainement;;non;published
sport;sport-et-sciences-du-mouvement/disciplines-sportives/sports-collectifs;265 millions de footballeurs;big-count-fifa-265-millions-de-joueurs;;non;published
sport;sport-et-sciences-du-mouvement/disciplines-sportives/sports-individuels;Ce que les records d'athlétisme racontent;records-donnees-reference-athletisme;;non;published
sport;sport-et-sciences-du-mouvement/disciplines-sportives/sports-et-handicap;Le sport adapté et la classification;sport-adapte-et-classification;;non;published
sport;sport-et-sciences-du-mouvement/sport-et-societe/dopage;Le dopage et les contrôles;rapport-adrv-2023-dopage-ama;;non;published
sport;sport-et-sciences-du-mouvement/sport-et-societe/economie-du-sport;L'économie du sport;economie-mondiale-du-sport;;non;published
sport;sport-et-sciences-du-mouvement/sport-et-societe/activite-physique-et-sante;Bouger est un médicament;bouger-est-un-medicament;;non;published
technologies;technologies-et-ingenierie/genie-civil/materiaux;La chaux, liant millénaire;chaux-liant-millenaire;;non;published
arts;arts-et-culture/arts-visuels/peinture-et-sculpture;Les pigments et la fabrication des couleurs;pigments-fabrication-couleurs;1;oui;planned
arts;arts-et-culture/patrimoine/architecture;L'architecture vernaculaire;architecture-vernaculaire;1;oui;planned
arts;arts-et-culture/patrimoine/musees-et-conservation;Les archives et bibliothèques de préservation;archives-bibliotheques-preservation;1;oui;planned
arts;arts-et-culture/patrimoine/patrimoine-immateriel;Les savoir-faire artisanaux;savoir-faire-artisanaux;1;oui;planned
arts;arts-et-culture/litterature-et-ecriture/histoire-du-livre;Fabriquer du papier;fabriquer-papier;1;oui;planned
arts;arts-et-culture/litterature-et-ecriture/histoire-du-livre;L'encre et les outils d'écriture;encre-outils-ecriture;1;oui;planned
corps-humain;corps-humain-et-sante/anatomie/systeme-cardiovasculaire;Arrêter une hémorragie;arreter-hemorragie;1;oui;planned
corps-humain;corps-humain-et-sante/anatomie/systeme-respiratoire;Dégager les voies respiratoires;degager-voies-respiratoires;1;oui;planned
corps-humain;corps-humain-et-sante/anatomie/systeme-digestif;La déshydratation et le soluté de réhydratation;deshydratation-solute-rehydratation;1;oui;planned
corps-humain;corps-humain-et-sante/anatomie/systeme-digestif;Les vitamines et les carences;vitamines-carences;1;oui;planned
corps-humain;corps-humain-et-sante/anatomie/systeme-digestif;Les besoins nutritionnels de base;besoins-nutritionnels-base;1;oui;planned
corps-humain;corps-humain-et-sante/maladies/maladies-infectieuses;Le choléra et l'eau contaminée;cholera-eau-contaminee;1;oui;planned
corps-humain;corps-humain-et-sante/maladies/maladies-infectieuses;Soigner une plaie;soigner-plaie;1;oui;planned
corps-humain;corps-humain-et-sante/maladies/maladies-infectieuses;Les maladies transmises par l'eau et les aliments;maladies-transmises-eau-aliments;1;oui;planned
corps-humain;corps-humain-et-sante/maladies/sante-mentale;Le stress post-traumatique;stress-post-traumatique;1;oui;planned
droit;droit-et-justice/droit-prive/droit-civil;La propriété et le cadastre;propriete-cadastre;1;oui;planned
droit;droit-et-justice/droit-prive/procedure-et-preuve;La médiation et l'arbitrage;mediation-arbitrage;1;oui;planned
droit;droit-et-justice/droit-public/droit-constitutionnel;Écrire une constitution;ecrire-constitution;1;oui;planned
energie;energie/energies-renouvelables/hydraulique;La microcentrale hydroélectrique;microcentrale-hydroelectrique;1;oui;planned
energie;energie/reseaux-et-stockage/reseaux-electriques;Produire de l'électricité avec un aimant;produire-electricite-avec-aimant;1;oui;planned
energie;energie/reseaux-et-stockage/batteries;La batterie au plomb;batterie-plomb;1;oui;planned
energie;energie/reseaux-et-stockage/hydrogene;L'électrolyse de l'eau;electrolyse-eau;1;oui;planned
energie;energie/efficacite-et-sobriete/efficacite-energetique;Isoler un bâtiment;isoler-batiment;1;oui;planned
energie;energie/efficacite-et-sobriete/efficacite-energetique;La cogénération;cogeneration;1;oui;planned
energie;energie/efficacite-et-sobriete/usages-et-consommation;Le bois de chauffage;bois-chauffage;1;oui;planned
environnement;environnement-et-climat/pollution-et-ressources/eau;Le traitement des eaux usées;traitement-eaux-usees;1;oui;planned
environnement;environnement-et-climat/pollution-et-ressources/eau;Récupérer l'eau de pluie;recuperer-eau-pluie;1;oui;planned
environnement;environnement-et-climat/pollution-et-ressources/dechets-et-recyclage;Réparer plutôt que jeter;reparer-plutot-jeter;1;oui;planned
espace;espace-et-astronomie/systeme-solaire/lune;Le calendrier lunaire;calendrier-lunaire;1;oui;planned
espace;espace-et-astronomie/astrophysique/etoiles;Se repérer grâce aux étoiles;reperer-grace-etoiles;1;oui;planned
espace;espace-et-astronomie/observation-astronomique/telescopes;Fabriquer une lunette astronomique;fabriquer-lunette-astronomique;1;oui;planned
geographie;geographie-et-territoires/geographie-physique/reliefs;Lire une carte topographique;lire-carte-topographique;1;oui;planned
geographie;geographie-et-territoires/geographie-physique/climatologie;Prévoir le temps sans instruments;prevoir-temps-sans-instruments;1;oui;planned
geographie;geographie-et-territoires/geographie-physique/climatologie;Le calendrier des saisons et des cultures;calendrier-saisons-cultures;1;oui;planned
geographie;geographie-et-territoires/geographie-humaine/urbanisation;Organiser un village autonome;organiser-village-autonome;1;oui;planned
geographie;geographie-et-territoires/geopolitique/ressources;Les ressources d'un territoire;ressources-territoire;1;oui;planned
geographie;geographie-et-territoires/geopolitique/routes-et-detroits;Naviguer sans GPS;naviguer-sans-gps;1;oui;planned
industries;industries/industrie-lourde/siderurgie;La forge et le travail du fer;forge-travail-fer;1;oui;planned
industries;industries/industrie-lourde/siderurgie;La trempe et le revenu;trempe-revenu;1;oui;planned
industries;industries/industrie-lourde/chimie-industrielle;Fabriquer du savon;fabriquer-savon;1;oui;planned
industries;industries/industrie-lourde/chimie-industrielle;La soude et la potasse;soude-potasse;1;oui;planned
industries;industries/industrie-manufacturiere/chaine-logistique;Stocker et conserver les marchandises;stocker-conserver-marchandises;1;oui;planned
industries;industries/industrie-manufacturiere/qualite-et-normalisation;Mesurer avec précision;mesurer-avec-precision;1;oui;planned
industries;industries/materiaux-et-procedes/mise-en-forme;La fonderie;fonderie;1;oui;planned
industries;industries/materiaux-et-procedes/mise-en-forme;Le soudage;soudage;1;oui;planned
industries;industries/materiaux-et-procedes/mise-en-forme;Filer et tisser;filer-tisser;1;oui;planned
informatique;micro-informatique-et-informatique/materiel/memoire-et-stockage;Conserver les données sur le long terme;conserver-donnees-long-terme;1;oui;planned
informatique;micro-informatique-et-informatique/logiciel/systemes-d-exploitation;Remettre en marche un vieil ordinateur;remettre-marche-vieil-ordinateur;1;oui;planned
informatique;micro-informatique-et-informatique/reseaux-et-securite/internet;Les réseaux locaux sans internet;reseaux-locaux-sans-internet;1;oui;planned
intelligence-artificielle;intelligence-artificielle/modeles-de-langage/transformeurs;Faire tourner une IA sur son ordinateur;faire-tourner-ia-ordinateur;1;oui;planned
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/agriculture-durable;Les légumineuses et l'azote;legumineuses-azote;1;oui;planned
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/agriculture-durable;La lutte biologique contre les ravageurs;lutte-biologique-contre-ravageurs;1;oui;planned
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/agriculture-durable;L'irrigation économe en eau;irrigation-econome-eau;1;oui;planned
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/agriculture-durable;L'élevage et la traction animale;elevage-traction-animale;1;oui;planned
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/agriculture-durable;Conserver les récoltes;conserver-recoltes;1;oui;planned
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/sols-et-fertilite;Fertiliser sans engrais industriels;fertiliser-sans-engrais-industriels;1;oui;planned
sciences-du-vivant;sciences-du-vivant-appliquees/agronomie/sols-et-fertilite;Reconnaître un sol;reconnaitre-sol;1;oui;planned
sciences-fondamentales;sciences-fondamentales/physique/mecanique;Le pendule et la mesure du temps;pendule-mesure-temps;1;oui;planned
sciences-fondamentales;sciences-fondamentales/physique/electromagnetisme;Tension, courant et résistance;tension-courant-resistance;1;oui;planned
sciences-fondamentales;sciences-fondamentales/physique/electromagnetisme;Les lentilles et l'optique;lentilles-optique;1;oui;planned
sciences-fondamentales;sciences-fondamentales/physique/thermodynamique;Conduction, convection, rayonnement;conduction-convection-rayonnement;1;oui;planned
sciences-fondamentales;sciences-fondamentales/chimie/chimie-organique;La distillation;distillation;1;oui;planned
sciences-fondamentales;sciences-fondamentales/chimie/chimie-inorganique;Les acides et les bases;acides-bases;1;oui;planned
sciences-fondamentales;sciences-fondamentales/chimie/chimie-inorganique;L'oxydation et la réduction;oxydation-reduction;1;oui;planned
sciences-fondamentales;sciences-fondamentales/chimie/chimie-physique;La combustion;combustion;1;oui;planned
sciences-fondamentales;sciences-fondamentales/mathematiques/algebre;La numération de position et le zéro;numeration-position-zero;1;oui;planned
sciences-fondamentales;sciences-fondamentales/mathematiques/geometrie;Arpenter et mesurer un terrain;arpenter-mesurer-terrain;1;oui;planned
sciences-fondamentales;sciences-fondamentales/sciences-de-la-terre/geologie;Trouver des minerais;trouver-minerais;1;oui;planned
sciences-fondamentales;sciences-fondamentales/sciences-de-la-terre/geologie;Trouver l'eau souterraine;trouver-eau-souterraine;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/histoire/prehistoire;La révolution néolithique;revolution-neolithique;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/histoire/prehistoire;Les outils de pierre;outils-pierre;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/histoire/epoque-contemporaine;Le plan Marshall et la reconstruction de l'Europe;plan-marshall-reconstruction-europe;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/histoire/methode-historique;L'effondrement des civilisations;effondrement-civilisations;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/economie/microeconomie;La division du travail;division-travail;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/economie/microeconomie;La comptabilité en partie double;comptabilite-partie-double;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/economie/macroeconomie;Le troc et l'invention de la monnaie;troc-invention-monnaie;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/sociologie/groupes-et-normes;La coopération et les biens communs;cooperation-biens-communs;1;oui;planned
sciences-humaines;sciences-humaines-et-sociales/sociologie/education-et-mobilite;Transmettre les savoirs;transmettre-savoirs;1;oui;planned
sport;sport-et-sciences-du-mouvement/physiologie-de-l-effort/blessures-et-prevention;Soigner une entorse;soigner-entorse;1;oui;planned
sport;sport-et-sciences-du-mouvement/physiologie-de-l-effort/blessures-et-prevention;Immobiliser une fracture;immobiliser-fracture;1;oui;planned
sport;sport-et-sciences-du-mouvement/disciplines-sportives/sports-individuels;Apprendre à nager;apprendre-nager;1;oui;planned
sport;sport-et-sciences-du-mouvement/sport-et-societe/activite-physique-et-sante;Porter et soulever sans se blesser;porter-soulever-sans-blesser;1;oui;planned
technologies;technologies-et-ingenierie/genie-civil/materiaux;La brique de terre cuite;brique-terre-cuite;1;oui;planned
technologies;technologies-et-ingenierie/genie-civil/ouvrages-dart;Construire une route durable;construire-route-durable;1;oui;planned
technologies;technologies-et-ingenierie/genie-civil/ouvrages-dart;Les aqueducs et canaux;aqueducs-canaux;1;oui;planned
technologies;technologies-et-ingenierie/robotique/actionneurs;Engrenages, courroies et transmissions;engrenages-courroies-transmissions;1;oui;planned
technologies;technologies-et-ingenierie/conception-et-fiabilite/choix-des-materiaux;Reconnaître et récupérer les matériaux;reconnaitre-recuperer-materiaux;1;oui;planned
arts;arts-et-culture/arts-du-spectacle/musique;La gamme et les notes;gamme-notes;2;non;planned
arts;arts-et-culture/arts-du-spectacle/musique;Les grandes familles d'instruments;grandes-familles-instruments;2;non;planned
arts;arts-et-culture/arts-du-spectacle/musique;Bach et la musique baroque;bach-musique-baroque;2;non;planned
arts;arts-et-culture/arts-du-spectacle/musique;Le jazz;jazz;2;non;planned
arts;arts-et-culture/arts-du-spectacle/musique;Le solfège;solfege;2;non;planned
arts;arts-et-culture/arts-du-spectacle/musique;La musique électronique;musique-electronique;2;non;planned
arts;arts-et-culture/arts-du-spectacle/musique;Le streaming musical;streaming-musical;2;non;planned
arts;arts-et-culture/arts-du-spectacle/theatre-et-danse;Molière;moliere;2;non;planned
arts;arts-et-culture/arts-du-spectacle/theatre-et-danse;Shakespeare;shakespeare;2;non;planned
arts;arts-et-culture/arts-du-spectacle/theatre-et-danse;La commedia dell'arte;commedia-dell-arte;2;non;planned
arts;arts-et-culture/arts-du-spectacle/theatre-et-danse;Le théâtre nô et le kabuki;theatre-no-kabuki;2;non;planned
